,city,finalWorth,Lon,Lat
0,Abbeville,1.2,-89.5031368,34.5031591
1,Adel,7.4,-94.0185176,41.6174123
2,Afton,13.7,-94.9628672,36.6939077
3,Alexandria,9.6,-77.0470229,38.8051095
4,Alpine,1.9,-103.6628596,30.3602181
5,Annapolis,1.7,-76.492786,38.9786401
6,Arcadia,1.0,-118.0401497,34.1362075
7,Aspen,2.5,-106.8235606,39.1911128
8,Atherton,58.699999999999996,-87.3619627,39.6080931
9,Atlanta,67.9,-84.3902644,33.7489924
10,Audubon,1.4,-94.9106526,41.670205
11,Austin,271.0,-97.7436995,30.2711286
12,Aventura,2.2,-80.1392121,25.9564812
13,Bal Harbour,8.6,-95.5220513,29.5490715
14,Bedford,1.5,-97.1430671,32.844017
15,Belle Vernon,2.7,-79.8664356,40.1250725
16,Belvedere,1.2,-122.462699,37.8663951
17,Bentonville,116.4,-94.2088172,36.3728538
18,Berkeley,4.8,-122.272863,37.8708393
19,Bethesda,5.300000000000001,-77.0942447,38.9846816
20,Beverly Hills,50.9,-118.3963062,34.0696501
21,Bingham Farms,4.3,-83.2732643,42.515868
22,Birchwood,3.9,-91.5561191,45.6580886
23,Birmingham,3.2,-86.8024326,33.5206824
24,Bloomfield Hills,7.2,-83.2454883,42.583645
25,Bloomington,10.2,-86.5342881,39.1670396
26,Boca Raton,15.3,-80.0830984,26.3586885
27,Boston,36.4,-71.060511,42.3554334
28,Boulder,1.2,-105.270545,40.0149856
29,Bozeman,3.9,-111.044047,45.6794293
30,Branford,5.6,-82.9281833,29.9591183
31,Brookline,13.5,-71.1211635,42.3317642
32,Brookville,2.3,-73.5673482,40.8131553
33,Brownsville,3.3,-97.4984005,25.9015688
34,Bryn Mawr,14.8,-75.31734069085473,40.0238245
35,Burlingame,4.2,-122.3473099,37.5780965
36,Carmel,3.9,-86.1189257,39.9788017
37,Cary,15.8,-78.7812081,35.7882893
38,Charleston,7.1,-79.9399309,32.7884363
39,Chattanooga,1.1,-85.3094883,35.0457219
40,Chestnut Hill,3.4000000000000004,-71.1661647,42.3306529
41,Chevy Chase,10.5,-77.0771572,38.9942121
42,Chicago,64.4,-87.6244212,41.8755616
43,Cincinnati,1.6,-92.924648,40.6308548
44,Cisco,3.1,-98.9797165,32.3828077
45,Clearwater,4.8,-82.8001026,27.9658533
46,Cleveland,4.5,-81.6936772,41.4996574
47,Coatesville,4.1,-86.6702816,39.6878242
48,Cockeysville,4.4,-76.6502845,39.4845658
49,Coconut Grove,3.7,-80.2388468,25.7398164
50,Coral Gables,5.8,-80.2683838,25.72149
51,Croton-on-Hudson,4.7,-73.8905175,41.2088215
52,Cupertino,1.8,-122.0322895,37.3228934
53,Dallas,84.3,-96.7968559,32.7762719
54,Darien,11.2,-83.001978,33.122579
55,Daytona Beach,1.8,-81.0228331,29.2108147
56,Delray Beach,16.599999999999998,-80.0728201,26.4614625
57,Denver,18.4,-104.984862,39.7392364
58,Durham,2.1,-78.9018053,35.996653
59,East Aurora,4.1,-78.6177611,42.7689141
60,East Hampton,5.5,-72.1847598,40.9633868
61,East Lyme,2.2,-72.2258709,41.3569909
62,East Setauket,28.1,-73.093714,40.920966
63,Easton,2.1,-75.2099866,40.6916081
64,Eau Claire,17.4,-91.4984941,44.811349
65,Edmond,2.2,-97.4649038,35.6571367
66,El Cerrito,2.2,-122.301411,37.9154056
67,El Paso,2.1,-106.4882345,31.7550511
68,Electra,21.4,-98.9163686,34.0320855
69,Elizabeth,9.2,-74.2107006,40.6639916
70,Englewood,1.2,-104.9879641,39.6482059
71,Erie,4.2,-80.0852695,42.1294712
72,Fayetteville,6.4,-94.1574328,36.0625843
73,Fisher Island,2.5,-80.14003652640545,25.7598373
74,Fort Collins,3.2,-105.0668085,40.5508527
75,Fort Lauderdale,4.4,-80.1433786,26.1223084
76,Fort Worth,81.5,-97.3327459,32.753177
77,Franklin,25.9,-86.8689419,35.925206
78,Gallatin,1.1,-94.4271582,36.2061907
79,Gladwyne,8.5,-75.2791788,40.0397304
80,Glencoe,4.2,-94.1515671,44.7691886
81,Glendora,4.2,-117.865339,34.1361187
82,Grand Rapids,13.799999999999999,-85.6678639,42.9632425
83,Grants Pass,2.1,-123.3272489,42.4393707
84,Greensboro,2.9,-79.7919754,36.0726355
85,Greenwich,57.0,-73.6284598,41.0264862
86,Hampton,6.6,-76.3452057,37.0300969
87,Hattiesburg,4.6,-89.2903392,31.3271189
88,Haverford,28.5,-75.2943516,40.0131672
89,Henderson,9.8,-114.9826194,36.0301134
90,Hidden Hills,1.2,-118.657837,34.164091
91,Highland Park,7.0,-83.0965829,42.4055981
92,Hillsboro,45.1,-122.989827,45.5228939
93,Hillsborough,2.8,-122.362529,37.557252
94,Hobe Sound,15.3,-80.1364323,27.059498
95,Honolulu,8.8,-157.855676,21.304547
96,Houston,73.2,-95.3676974,29.7589382
97,Hunts Point,82.7,-122.230124,47.6434321
98,Idaho Falls,3.1,-112.03628,43.4887907
99,Incline Village,10.2,-119.951909,39.2501246
100,Indian Creek,17.5,-87.9797968,42.2269684
101,Indian Hills,1.9,-85.6627394,38.2725704
102,Indianapolis,3.4,-86.1583502,39.7683331
103,Irvine,11.200000000000001,-117.8259819,33.6856969
104,Islamorada,5.2,-80.6291479,24.9236561
105,Jackson,51.5,-90.1830408,32.2998686
106,Jacksonville,1.2,-81.655651,30.3321838
107,Jupiter,2.0,-120.2826923,38.122421
108,Jupiter Island,1.1,-80.10358224127125,27.03419
109,Katonah,6.7,-73.6853852,41.25877
110,Kearney,1.4,-99.081858,40.699478
111,Keene,9.6,-72.2784264,42.933597
112,Key Largo,1.7,-95.1913176,29.0311056
113,Knoxville,7.3,-83.9210261,35.9603948
114,La Jolla,1.7,-117.2740777,32.8401623
115,Laguna Beach,6.1,-117.785366,33.5426975
116,Lake Forest,7.6,-117.6859213,33.6469261
117,Lake Worth,2.6,-97.44502,32.8048507
118,Lanai,107.0,-156.9029492509114,20.830544099999997
119,Larchmont,3.3,-73.7517983,40.9278769
120,Las Vegas,56.8,-115.148516,36.1672559
121,Leawood,4.2,-94.6169012,38.966673
122,Lexington,8.7,-84.4970393,38.0464066
123,Liberty,1.5,-94.419079,39.246479
124,Lighthouse Point,6.9,-79.919255,32.7274
125,Little Jackson Hole,3.4,-70.6660718,41.5202017
126,Little Rock,3.2,-92.2896267,34.7465071
127,Livingston,3.9,-94.9329898,30.711029
128,Locust Valley,1.3,-73.5971927,40.8757712
129,Logan,1.6,-111.834914,41.7313063
130,Lone Pine,1.3,-94.90688,32.8445759
131,Los Altos,107.6,-122.116578,37.3790629
132,Los Altos Hills,11.299999999999999,-122.137463,37.3796627
133,Los Angeles,115.5,-118.242766,34.0536909
134,Lower Merion,1.2,-75.27688813828287,40.0250214
135,Lutherville-Timonium,1.1,-76.61099,39.43997
136,Madison,7.1,-89.3837613,43.074761
137,Malibu,9.0,-118.689423,34.035591
138,Manalapan,1.6,-80.0447635,26.5692364
139,Mankato,2.7,-98.2093415,39.7869202
140,Marin County,2.4,-122.6199638,38.0409144
141,McLean,5.7,-77.1776327,38.9342888
142,Medina,229.7,-99.299833,46.893876
143,Memphis,4.6,-90.0517638,35.1460249
144,Menlo Park,3.7,-122.177992,37.4519671
145,Miami,60.6,-80.19362,25.7741728
146,Miami Beach,25.5,-80.1353006,25.7929198
147,Midland,11.3,-102.077948,31.9973662
148,Millburn,6.8,-74.3069069,40.7244443
149,Milton,22.6,-92.1616976,40.6736285
150,Minnetonka,1.2,-93.4638936,44.9405086
151,Missoula,8.4,-113.995267,46.8701049
152,Monkton,1.3,-73.1241568,44.2539198
153,Monsey,1.9,-74.0684751,41.1112069
154,Montecito,2.5,-119.6320753,34.4366626
155,Mount Kisco,1.2,-73.7270761,41.2042616
156,Muttontown,3.5,-73.5476252,40.8239883
157,Naples,34.0,-81.7942944,26.1421976
158,Nashville,25.7,-86.7742984,36.1622767
159,New Albany,6.0,-95.93175761796314,37.5667155
160,New Orleans,4.7,-90.0782127,29.9759983
161,New York,611.0,-74.0060152,40.7127281
162,New York City,3.6,-74.0060152,40.7127281
163,Newbury Park,3.1,148.45099,-32.2484419
164,Newport Beach,29.0,-117.9294401,33.6170092
165,Newport Coast,6.6,-117.8268219,33.5963719
166,Newton,6.4,-71.2092214,42.3370414
167,Nicasio,2.6,-122.6985975,38.0615885
168,North Palm Beach,8.6,-80.0821108,26.8175175
169,North Salem,1.9,-73.5712374,41.3348169
170,Norwich,2.1,-72.0759008,41.5243537
171,Nyack,1.2,-113.8056677,48.4394106
172,Oak Brook,5.2,-87.9289504,41.8328085
173,Oklahoma City,44.3,-97.5170536,35.4729886
174,Old Lyme,1.9,-72.3289715,41.3159315
175,Omaha,108.5,-95.9383758,41.2587459
176,Ormond Beach,2.2,-81.0557921,29.2854132
177,Orono,1.2,-68.672791,44.883607
178,Oyster Bay,6.199999999999999,-73.530516,40.8725519
179,Pacific Palisades,4.0,-118.5264706,34.0480643
180,Palisades,5.5,-73.91346,41.0111793
181,Palm Beach,104.3,-80.4494174,26.6279798
182,Palo Alto,197.20000000000002,-122.1598465,37.4443293
183,Paoli,1.4,-89.5253953,42.9289884
184,Paradise Valley,7.4,-111.9505123,33.5324295
185,Park City,2.0,-111.4979963,40.6460921
186,Philadelphia,12.5,-75.1635262,39.9527237
187,Phoenix,17.4,-112.074141,33.4484367
188,Pittsburgh,2.7,-79.9900861,40.4416941
189,Plantation,4.1,-85.5910719,38.2834033
190,Pleasanton,5.0,-121.8746789,37.6624312
191,Plymouth,1.2,-93.46651,45.0065149
192,Pompano Beach,4.0,-80.1247667,26.2378597
193,Port Washington,7.0,-73.6958069,40.8257072
194,Portage,6.9,-85.5800022,42.2011538
195,Portland,2.3,-122.674194,45.5202471
196,Portola Valley,7.9,-122.219047,37.3736298
197,Potomac,10.4,-87.8005829,40.305036
198,Pottsville,1.0,-86.825278,35.6378474
199,Princeton,1.7,-74.6597376,40.3496953
200,Providence,3.1,-71.4128343,41.8239891
201,Provo,4.0,-111.6587085,40.2337289
202,Racine,14.399999999999999,-87.7825242,42.7260523
203,Rancho Santa Fe,4.3,-117.19815158464624,33.024194949999995
204,Redding,5.5,-122.391675,40.5863563
205,Redlands,7.0,-117.1827445,34.0550328
206,Redwood City,1.5,-122.232523,37.4863239
207,Reno,10.9,-119.8126581,39.5261206
208,Rhinebeck,2.0,-73.912763,41.9267604
209,Rochester,1.1,-77.615214,43.157285
210,Rolling Hills,6.7,-85.574405,38.2825701
211,Saddle River,7.8,-74.1020866,41.0317637
212,Sag Harbor,3.3,-72.2922292,40.9978727
213,Sagaponack,1.5,-72.2781375,40.9253776
214,Saint Petersburg,7.5,-82.6359078,27.7700475
215,Salt Lake City,4.0,-111.886797,40.7596198
216,San Anselmo,5.0,-122.561503,37.9744323
217,San Antonio,12.9,-98.4951405,29.4246002
218,San Carlos,1.0,-122.261823,37.504936
219,San Diego,5.6000000000000005,-117.1627728,32.7174202
220,San Francisco,114.2,-122.419906,37.7790262
221,San Jose,15.5,-121.890591,37.3361663
222,San Juan Islands,2.2,-134.00490622741472,57.2870602
223,San Marcos,2.8,-117.1661449,33.1433723
224,Sands Point,5.6,-73.718742,40.8517669
225,Santa Barbara,7.4,-119.702667,34.4221319
226,Santa Clara,3.4,-121.955174,37.3541132
227,Santa Cruz,3.1,-122.0294673,36.9743626
228,Santa Monica,1.9,-118.491227,34.0194704
229,Sarasota,2.9,-82.5308545,27.3365805
230,Saratoga,2.3,-73.6417024,43.0529612
231,Scarborough,2.5,-70.3395776,43.5909038
232,Scarsdale,6.8,-73.7974133,40.9880495
233,Scottsdale,3.4,-111.926018,33.4942189
234,Seattle,35.699999999999996,-122.330062,47.6038321
235,Sewickley,2.1,-80.1845031,40.5364566
236,Short Hills,3.6,-74.3254271,40.7478786
237,Sioux Falls,2.0,-96.7307737,43.5488256
238,Southampton,5.5,-72.3895296,40.884267
239,Springdale,2.6,-94.1288142,36.1867442
240,Springfield,11.9,-89.6439575,39.7990175
241,St. John,3.0,-98.7601021,38.0021145
242,St. Louis,23.1,-90.1910154,38.6280278
243,St. Paul,1.6,-95.17604240058537,37.517132000000004
244,St. Petersburg,3.3,-82.6359078,27.7700475
245,Stanford,1.8,-122.1702445,37.427467
246,Steamboat Springs,3.9,-106.8317359,40.4848003
247,Tampa,6.9,-82.458444,27.9477595
248,Tarrytown,2.6,-73.8587461,41.0762077
249,Tempe,3.0,-111.9400164,33.4255117
250,Temple,2.8,-97.3427847,31.098207
251,The Plains,38.3,-77.774073,38.8624506
252,The Woodlands,3.0,-95.504686,30.1734194
253,Tolleson,1.5,-112.259309,33.4500497
254,Tulsa,16.5,-95.9927516,36.1563122
255,Venice,2.5,12.3345898,45.4371908
256,Ventura,2.3,-119.293174,34.2783355
257,Vienna,3.5,16.3725042,48.2083537
258,Virginia,1.3,-78.4927721,37.1232245
259,Virginia Beach,4.8,-75.9774183,36.8529841
260,Westlake,3.8,-97.1943701,32.991226
261,Weston,2.5,-80.399513,26.1003392
262,Wichita,59.0,-97.3375448,37.6922361
263,Wilson,6.8999999999999995,-101.7252037,33.3206498
264,Windermere,1.5,-81.5345547,28.4944695
265,Winnetka,10.5,-87.7365286,42.1080703
266,Woodside,32.4,-122.253855,37.4299388
267,Wynnewood,4.4,-97.1644656,34.6434171
268,Yorktown Heights,1.6,-73.7776336,41.2709274
269,Youngstown,5.1,-80.6520161,41.1035786
270,Ypsilanti,2.0,-84.4132524,32.7426366
